vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,alpha,multiplicative,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,3,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,77.75,76.76,420
0,0.05,0.5,60000,0.03,0.03,5.00E-05,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,77.47,77.14,1998
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,77.36,77.01,50
0,0.05,0.5,60000,0.03,0.03,0.0005,0,1,1,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,77.33,76.74,420
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,77.13,76.24,2011
0,0.05,0.5,60000,0.03,0.03,5.00E-05,0,1,5,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,77.06,76.2,420
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,5,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,77.05,77.43,50
0,0.05,0.5,60000,0.03,0.03,5.00E-05,0,1,5,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,76.86,75.9,100
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,2,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,76.84,76.16,1998
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,3,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,76.79,76.37,50
0,0.05,0.5,60000,0.03,0.03,0.005,0,1,2,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,76.39,75.48,50
0,0.05,0.5,60000,0.03,0.03,5.00E-05,0,1,5,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,76.24,76.09,50
0,0.05,0.5,60000,0.03,0.03,0.0001,0,1,3,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,76.23,76.19,100
0,0.05,0.5,60000,0.03,0.03,0.005,0,1,3,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,76.19,75.67,1998
0,0.05,0.5,60000,0.03,0.03,5.00E-05,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,76.04,74.78,420
0,0.05,0.5,60000,0.03,0.03,0.01,0,1,4,0.35,0,0.005,50,10,0.005,0.005,0.01,1,0.005,1,0,1,-1,1,4,0.5,0,75.99,75.63,420
